Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
FID4761,Medical Equipment,Fridges & Freezers,Other: Fridge not cold,Localised to room,RMG > RH > 8 > Nursing Stn B,,21/12/2021 16:43,21/12/2021 16:56,21/12/2021 16:56,21/12/2021 16:56,21/12/2021 16:57,21/12/2021 16:59,replace battery,,,,,,,Medication fridge showing low and not cold-satha-low
FID4760,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RSC > 12 > Rehab Con Rm 2,,21/12/2021 16:38,21/12/2021 16:45,21/12/2021 16:45,21/12/2021 16:46,21/12/2021 16:46,21/12/2021 17:28,Adjusted vav 12-1-6 temperature setpoint from 21c to 19c and damper position from auto (38%) to 60% manual in bms system make it cool,,,,,,,Aircon make it cool-su-low
FID4759,Building,Door Stopper,Other: Door unable to stay open,Localised to room,RMG > RSC > 12 > Rehab Con Rm 2,,21/12/2021 16:36,23/12/2021 11:14,23/12/2021 11:14,23/12/2021 11:15,23/12/2021 11:16,23/12/2021 11:16,Repaired the door,,,,,,,Door unable to stay open -ming cai-low
FID4758,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 1 > A&E,,21/12/2021 16:35,23/12/2021 11:17,23/12/2021 11:18,23/12/2021 11:18,23/12/2021 11:19,23/12/2021 11:20,Adjusted FCU 1-10-1 temperature setpoint from 23c to 21c and cooling valve from 50% to 55% in bms system make it cool,,,,,,,Aircon make it cool-isyamudin-low
FID4757,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 6,,21/12/2021 16:05,21/12/2021 16:06,21/12/2021 16:06,21/12/2021 16:06,21/12/2021 16:07,21/12/2021 16:09,Adjusted the temperature setpoint from 16c to 14c and heater to 0% manual in bms system make it cooler,,,,,,,Aircon make it cool-su-low
FID4755,Electrical,Light Bulb,Other: Different colour,Affecting Public,RMG > RH > All > Passenger Lift 6,,21/12/2021 15:49,23/12/2021 10:32,23/12/2021 10:33,23/12/2021 10:33,23/12/2021 10:34,23/12/2021 10:36,Replaced to 840 light tube,,,,,,,"Need to replace the light in VL6, different colour -senthil-low"
FID4754,Plumbing & Sanitary,Bidet spray / Hose,Leaking,Affecting Public,RMG > RH > 9 > Ward 960 - 961,,21/12/2021 15:42,21/12/2021 16:04,21/12/2021 16:05,21/12/2021 16:06,21/12/2021 16:14,21/12/2021 16:20,replaced the new hose & spray,,,,,,,Bidet spray faulty-ilayaraja-low
FID4753,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 1 > A&E,,21/12/2021 15:41,21/12/2021 15:43,21/12/2021 15:43,21/12/2021 15:44,21/12/2021 15:44,21/12/2021 15:50,Adjusted FCU 1-10-1 cooling valve from 40% to 50% in bms system make it cool. Temperature setpoint is 23c,,,,,,,Aircon make it cool-su-low
FID4752,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 9 > Corridor,,21/12/2021 15:10,21/12/2021 15:31,21/12/2021 15:31,21/12/2021 15:32,21/12/2021 15:32,21/12/2021 15:33,Bulb change done,,,,,,,Light fused-allan-low
FID4750,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 11,,21/12/2021 14:45,21/12/2021 14:49,21/12/2021 14:49,21/12/2021 14:49,21/12/2021 15:04,21/12/2021 15:11,Adjusted the temperature setpoint from 28c to 20c and heater from auto (100%) to 0% manual in bms system make it cool,,,,,,,Aircon make it cool-su-low
FID4749,Medical Equipment,Fridges & Freezers,Other: Fridge not cold,Localised to room,RMG > RH > 8 > Nursing Stn B,,21/12/2021 14:43,21/12/2021 14:43,21/12/2021 14:44,21/12/2021 14:44,21/12/2021 14:46,21/12/2021 14:52,clear the ice reduce the setpoint checked compressor running normal,,,,,,,Medication fridge showing low and not cold-satha-low
FID4744,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Nursing Stn B,,21/12/2021 13:55,23/12/2021 11:21,23/12/2021 11:21,23/12/2021 11:21,23/12/2021 11:23,23/12/2021 11:24,"Checked onsite, there is airflow, but not so cold. So adjusted AHU 9-2 temperature setpoint from 20c to 18c in bms system make it cool",,,,,,,Aircon make it cool-isyamudin-low
FID4743,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 1 > Nuclear Med Office,,21/12/2021 13:54,21/12/2021 13:56,21/12/2021 13:56,21/12/2021 13:57,21/12/2021 13:57,21/12/2021 13:59,Adjusted AHU 1-5 temperature setpoint from 22.5c to 22c in bms system make it cool. Cooling valve increased from 63% to 73%.,,,,,,,Aircon make it cool-su-low
FID4739,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1337-1343 Nurse Station,,21/12/2021 13:08,21/12/2021 13:26,21/12/2021 13:26,21/12/2021 13:27,21/12/2021 13:27,21/12/2021 13:28,Change battery,,,,,,,Need to replace wall clock battery-allan-low
FID4738,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1328-1336 Nurse Station,,21/12/2021 13:06,21/12/2021 13:29,21/12/2021 13:29,21/12/2021 13:30,21/12/2021 13:30,21/12/2021 13:31,Change battery done,,,,,,,Need to replace wall clock battery-allan-low
FID4736,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > RIPC Waiting Area,,21/12/2021 12:23,23/12/2021 11:25,23/12/2021 11:26,23/12/2021 11:27,23/12/2021 11:27,23/12/2021 11:28,Replaced new light,,,,,,,Need to change the ceiling light-Nazri-low
FID4732,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 1 > Level 1,,21/12/2021 11:32,21/12/2021 11:39,21/12/2021 11:42,21/12/2021 11:43,21/12/2021 11:43,21/12/2021 11:45,Delivered 5 nos O2 cylinders to facilities,,,,,,,Need to send 5 takeo oxygen cylinders for CC-shanmu-low
FID4731,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 8 > Ward 812,,21/12/2021 11:25,23/12/2021 11:29,23/12/2021 11:29,23/12/2021 11:29,23/12/2021 11:30,23/12/2021 11:31,Replaced new wall clock battery,,,,,,,Need to replace new wall clock battery-nazri-low
FID4727,Plumbing & Sanitary,Urinal,Choked,Affecting Public,RMG > RSC > 2 > Male Toilet,,21/12/2021 9:55,21/12/2021 11:28,21/12/2021 11:29,21/12/2021 11:30,21/12/2021 11:30,21/12/2021 11:32,cleared the chock,,,,,,,Urinal choke-ilayaraja-low
FID4717,Office and Furniture,Patient Bed,Cannot operate / defective,Localised to room,RMG > RH > 9 > Ward 973 - 975,,21/12/2021 9:27,21/12/2021 11:36,21/12/2021 11:37,21/12/2021 11:37,21/12/2021 11:39,21/12/2021 11:40,reset the power then back to normal,,,,,,,Bed not working-ilayaraja-low
FID4708,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 8,,21/12/2021 8:57,21/12/2021 9:16,21/12/2021 9:17,21/12/2021 9:18,21/12/2021 9:20,21/12/2021 9:26,adjusted temperature in 23 degree,,,,,,,"Aircon too cold, make it warm-V.bala-low"
FID4707,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1328-1336 Nurse Station,,21/12/2021 8:26,21/12/2021 10:06,21/12/2021 10:07,21/12/2021 10:08,21/12/2021 10:08,21/12/2021 10:09,battery chain,,,,,,,Need to replace wall clock battery-alan-low
FID4706,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn C,,21/12/2021 8:06,21/12/2021 8:15,21/12/2021 8:15,21/12/2021 8:16,21/12/2021 8:18,21/12/2021 8:22,adjusted vav control in bms setpoint 24to22 make it cool,,,,,,,Aircon too warm-v.bala-low
FID4705,Office and Furniture,Telephone,Cannot operate / defective,Localised to room,RMG > RH > 9 > Ward 919,,21/12/2021 8:02,23/12/2021 11:32,23/12/2021 11:33,23/12/2021 11:34,23/12/2021 11:34,23/12/2021 11:35,Adjusted the telephone connection,,,,,,,Telephone not working-v.bala-low
FID4704,Electrical,Light Bulb,Tripped / Short-Circuit / Overloaded,Localised to room,RMG > RH > 7 > Day Surgery Corridor,,21/12/2021 7:58,21/12/2021 8:53,21/12/2021 8:55,21/12/2021 9:21,21/12/2021 9:21,21/12/2021 9:23,replaced new light bulb,,,,,,,Lights trip-abala-high
FID4703,Electrical,Call System,Unserviceable,Localised to room,RMG > RH > 9 > Ward 978 - 979,,21/12/2021 7:51,21/12/2021 8:46,21/12/2021 8:47,21/12/2021 8:47,21/12/2021 8:48,21/12/2021 8:49,replaced new light bulb,,,,,,,Call bell keep ringing-abala-low
FID4702,Building,Filter,Dirty / Odour,Localised to room,RMG > RH > 7 > CSSD,,21/12/2021 7:37,21/12/2021 7:38,21/12/2021 7:38,21/12/2021 7:38,21/12/2021 7:39,21/12/2021 7:40,replaced new filter,,,,,,,Need to change new filter-v.bala-low
FID4701,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,21/12/2021 0:42,21/12/2021 0:43,21/12/2021 0:44,21/12/2021 0:44,21/12/2021 0:46,21/12/2021 0:47,adjusted vav control in bms setpoint 20to24 make it warm,,,,,,,"Aircon too cold, make it warm-v.bala-low"
FID4699,Mechanical,BMS / BAS,Too hot / Too cold,Affecting Public,RMG > RH > 7 > Operating Theatre 11,,20/12/2021 18:51,20/12/2021 18:52,20/12/2021 18:52,20/12/2021 18:53,20/12/2021 18:53,20/12/2021 18:55,temprature setpoint at 26 degree heater manully 0 %  change to auto 100 %,,,,,,,"Aircon make it warm to 24, aircon too cool-satha-low"
FID4698,Mechanical,AHU / FCU / CU,Leaking / Condensation,Affecting Public,RMG > RSC > 1 > Visitor Lift Lobby,,20/12/2021 18:42,20/12/2021 18:43,20/12/2021 18:43,20/12/2021 18:43,20/12/2021 18:45,20/12/2021 18:46,vaccume drain pipe and clear the choke,,,,,,,Water leaking from the ceiling aircon-satha-low
FID4695,Plumbing & Sanitary,Basin / sink,Choked,Localised to room,RMG > RH > 12 > Raffles Health Screeners,,20/12/2021 17:57,20/12/2021 18:14,20/12/2021 18:15,20/12/2021 18:15,20/12/2021 18:16,20/12/2021 18:16,clear,,,,,,,Basin choke-ming cai-low
FID4694,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,20/12/2021 17:48,20/12/2021 17:48,20/12/2021 17:49,20/12/2021 17:49,20/12/2021 17:50,20/12/2021 17:57,adjusted setpoint to 22 degree in bms,,,,,,,Aircon make it cool-satha-low
FID4692,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 11 > MRO,,20/12/2021 16:58,21/12/2021 13:33,21/12/2021 13:34,21/12/2021 13:34,21/12/2021 13:35,21/12/2021 13:35,Bulb change done,,,,,,,Need to change the ceiling light-Allan-low
FID4689,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 8 > Delivery Suite 3,,20/12/2021 15:58,20/12/2021 16:01,20/12/2021 16:02,20/12/2021 16:05,20/12/2021 16:05,20/12/2021 16:06,Adjust setpoint temperature.,,,,,,,Aircon need to make cool-Isyamudin-low
FID4688,Mechanical,Mechanical Ventilation,Cannot Open or Close,More than 1 room,RMG > RH > 9 > Ward 973 - 975,,20/12/2021 15:28,23/12/2021 11:37,23/12/2021 11:38,23/12/2021 11:39,23/12/2021 11:39,23/12/2021 11:40,Repaired the bed,,,,,,,Bed cannot adjust up and down -ming cai-low
FID4686,Electrical,Light Bulb,Flickering / Blown,More than 1 room,RMG > RH > 7 > Histo Data Rm,,20/12/2021 15:04,21/12/2021 13:36,21/12/2021 13:37,21/12/2021 13:37,21/12/2021 13:37,21/12/2021 13:38,Bulb change done,,,,,,,Need to replace the ceiling light-Allan-low
FID4685,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Ward 1065,,20/12/2021 14:58,20/12/2021 15:06,20/12/2021 15:07,20/12/2021 15:10,20/12/2021 15:13,20/12/2021 15:15,adjested the setpoint & airflow from bms,,,,,,,"Aircon very cool, make it warm - ilayaraja-low"
FID4680,Plumbing & Sanitary,Basin / sink,Choked,Localised to room,RMG > RH > 7 > Day Surgery Rm 13,,20/12/2021 12:49,20/12/2021 14:29,20/12/2021 14:29,20/12/2021 14:30,20/12/2021 14:30,20/12/2021 14:32,clear the chock,,,,,,,Basin choke -ming cai-low
FID4677,Office and Furniture,Cabinet,Cannot open / close,Affecting Public,RMG > RH > 2 > Dental Surgery 3,,20/12/2021 11:45,20/12/2021 16:57,20/12/2021 16:57,20/12/2021 16:58,20/12/2021 16:58,20/12/2021 16:59,open the door,,,,,,,Drawer stuck-ming cai-low
FID4675,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 1 > Nuclear Medicine Centre,,20/12/2021 11:44,20/12/2021 11:57,20/12/2021 11:58,20/12/2021 12:03,20/12/2021 12:04,20/12/2021 12:06,replaced the new oxigen cylinder,,,,,,,Need to change 1 small oxygen cylinder for e-trolley-ilayaraja-medium
FID4671,Plumbing & Sanitary,Soap Dispenser,Other: Relocation,Localised to room,RMG > RH > 1 > Unit #01-11 Retail Phamacy,,20/12/2021 11:01,20/12/2021 11:12,20/12/2021 11:12,20/12/2021 11:13,20/12/2021 11:28,20/12/2021 11:30,Move to the opposite side,,,,,,,Need to relocate hand towel dispenser -ming cai-low
FID4670,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1052,,20/12/2021 10:53,20/12/2021 11:43,20/12/2021 11:43,20/12/2021 11:44,20/12/2021 11:45,20/12/2021 11:47,adjusted the setpoint temperature to 24 degrees and position at 20 % opening .checked on site,,,,,,,Aircon make it warm -satha-low
FID4668,Mechanical,Fire Extinguisher,Misaligned / dangling,Localised to room,RMG > RH > 11 > Bed Lift Lobby,,20/12/2021 10:20,20/12/2021 11:49,20/12/2021 11:50,20/12/2021 11:50,20/12/2021 11:50,20/12/2021 11:53,fixed back,,,,,,,Fire extinguisher dropped-Shanmu-low
FID4667,Mechanical,Auto Sliding Glass Door,Misaligned / dangling,Localised to room,RMG > RSC > 11 > Fireman Lift Lobby,,20/12/2021 10:18,20/12/2021 10:25,20/12/2021 10:50,20/12/2021 10:52,20/12/2021 12:53,23/12/2021 11:36,Tighten the door & lock screw back to normal,,,,,,,"Need to check alignment of the EM door, EM lock not touching-ilayaraja-low"
FID4666,Plumbing & Sanitary,WC / Squatting Pedestal,Choked,Localised to room,RMG > RH > 12 > RHS Male Toilet,,20/12/2021 10:14,20/12/2021 10:25,20/12/2021 10:47,20/12/2021 10:47,20/12/2021 10:48,20/12/2021 10:48,Cleared the choke,,,,,,,Toilet bowl choke-Allan-low
FID4665,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 11 > MRO,,20/12/2021 10:12,23/12/2021 10:29,23/12/2021 10:30,23/12/2021 10:30,23/12/2021 10:31,23/12/2021 10:32,Replaced new light,,,,,,,Light fused-Senthil-low
FID4664,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 11 > Room 1115 (CTU),,20/12/2021 10:11,23/12/2021 10:26,23/12/2021 10:26,23/12/2021 10:26,23/12/2021 10:27,23/12/2021 10:27,Replaced new light,,,,,,,Light fused-Senthil-low
FID4660,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RSC > 9 > Internal Med,,20/12/2021 9:22,20/12/2021 11:50,20/12/2021 11:50,20/12/2021 11:51,20/12/2021 11:51,20/12/2021 11:54,ddc failed restart back normal,,,,,,,Aircon very warm -satha-low
FID4652,Mechanical,Lift & Escalators,System Shows fault / Error code,Localised to room,RMG > RSC > B1 > B1,,20/12/2021 8:46,20/12/2021 8:52,20/12/2021 8:53,20/12/2021 8:53,20/12/2021 8:54,20/12/2021 8:57,Reset normal back,,,,,,,"Escalator 05 not running, error code '4' -mani-low"
FID4651,Medical Equipment,Mortuary Fridge & Freezers,Alarm,Localised to room,RMG > RSC > 11 > Radiology,,20/12/2021 8:42,20/12/2021 10:44,20/12/2021 10:45,20/12/2021 10:45,20/12/2021 10:46,20/12/2021 10:46,Replaced new battery for testo data logger,,,,,,,Testo data logger not working -aru-low
FID4649,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Nursing Stn D,,20/12/2021 8:33,20/12/2021 10:41,20/12/2021 10:41,20/12/2021 10:42,20/12/2021 10:43,20/12/2021 10:43,Adjusted the aircon temperature in bms system make it cool,,,,,,,Aircon make it cool -aru-low
FID4648,Office and Furniture,TV,Cannot open / close,Localised to room,RMG > RH > 7 > Call Centre,,20/12/2021 8:12,20/12/2021 8:12,20/12/2021 8:13,20/12/2021 8:13,20/12/2021 8:14,20/12/2021 8:17,Replaced new battery,,,,,,,TV remote not working -mani -low
FID4647,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 1 > A&E,,20/12/2021 8:07,20/12/2021 10:38,20/12/2021 10:38,20/12/2021 10:39,20/12/2021 10:40,20/12/2021 10:40,Replaced new oxygen cylinder,,,,,,,Need to replace 2 big oxygen cylinder -aru-medium
FID4645,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > A&E Waiting Area,,20/12/2021 7:38,20/12/2021 7:38,20/12/2021 7:39,20/12/2021 7:39,20/12/2021 7:40,20/12/2021 7:44,Replaced new bulb,,,,,,,Need to change bulb -mani-low
FID4644,Electrical,Call System,Unserviceable,Localised to room,RMG > RH > 1 > A&E Bed 1 & 2,,20/12/2021 7:30,20/12/2021 7:30,20/12/2021 7:31,20/12/2021 7:31,20/12/2021 7:32,20/12/2021 7:35,call bell Reset normal back,,,,,,,Call bell not ringing-mani-low
FID4639,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Ward 1065,,19/12/2021 18:29,19/12/2021 18:30,19/12/2021 18:30,19/12/2021 18:32,19/12/2021 18:34,19/12/2021 18:36,Bms adjuted the aircon temprature make it warm,,,,,,,Aircon make it warm-a.bala-low
FID4637,Plumbing & Sanitary,Basin / sink,Choked,More than 1 room,RMG > RH > 10 > Ward 1061,,19/12/2021 18:13,19/12/2021 18:20,19/12/2021 18:22,19/12/2021 18:23,19/12/2021 18:24,19/12/2021 18:25,basin choke cleared,,,,,,,Basin choke-v.bala-low
FID4635,Mechanical,Pneumatic Tube,System Shows fault / Error code,More than 1 room,RMG > RH > 2 > RM@RH Counter,,19/12/2021 17:03,19/12/2021 17:04,19/12/2021 17:04,19/12/2021 17:05,19/12/2021 17:05,19/12/2021 17:07,working normal test to send tube and recived back,,,,,,,Pneumatic tube system not working-satha-low
FID4633,Office and Furniture,Chair,Cannot operate / defective,More than 1 room,RMG > RH > 10 > Nursing Stn D,,19/12/2021 16:38,19/12/2021 17:33,19/12/2021 17:34,19/12/2021 17:34,19/12/2021 17:35,19/12/2021 17:38,screw missing replaced new screw,,,,,,,Need to tighten screw-v.bala-low
FID4632,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Nursing Stn C,,19/12/2021 16:15,19/12/2021 16:42,19/12/2021 16:42,19/12/2021 16:43,19/12/2021 17:39,19/12/2021 17:43,adjusted vav control in bms aircon make it cool,,,,,,,Aircon make it cool-v.bala-low
FID4631,Building,Door Frame,Noisy,More than 1 room,RMG > RH > 8 > Ward 850,,19/12/2021 14:30,19/12/2021 16:05,19/12/2021 16:05,19/12/2021 16:06,19/12/2021 16:08,19/12/2021 16:10,door closer screw loose tighten back normal,,,,,,,Door very noisy-v.bala-low
FID4627,Office and Furniture,Safe Box,Cannot open / close,More than 1 room,RMG > RH > 13 > Ward 1328-1336,,19/12/2021 11:57,19/12/2021 13:41,19/12/2021 13:42,19/12/2021 13:43,19/12/2021 13:43,19/12/2021 13:44,number locker cannot open master key use,,,,,,,Patient locker need to open-v.bala-low
FID4625,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 13,,19/12/2021 9:41,20/12/2021 10:50,20/12/2021 10:51,20/12/2021 10:51,20/12/2021 10:51,20/12/2021 10:52,Manually adjust the cooling valve onsite to make the aircon warm,,,,,,,"Aircon too cold, make it warm-isyamudin-low"
FID4620,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 13,,19/12/2021 3:41,19/12/2021 4:01,19/12/2021 4:01,19/12/2021 4:03,19/12/2021 4:05,19/12/2021 4:06,setpoint adjust 24to 26 aircon make it warm,,,,,,,Aircon make it warm-aru-low
FID4619,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1328-1336,,19/12/2021 3:29,19/12/2021 3:30,19/12/2021 3:30,19/12/2021 3:31,19/12/2021 3:31,19/12/2021 3:37,adjusted the aircon temperature from 20c to 25c and damber from auto to 20% manual in bms system make it warm,,,,,,,Aircon make it warm-mani-low
FID4617,Mechanical,AHU / FCU / CU,Airflow too strong / weak,Localised to room,"RMG > RH > 13 > Ward 1310-1318, RMG",,18/12/2021 22:37,18/12/2021 22:39,18/12/2021 22:40,18/12/2021 22:42,18/12/2021 22:44,18/12/2021 22:45,room setpoint adjust 24 to 26 aircon make it warm,,,,,,,Aircon make it warm -aru-low
FID4616,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > A&E,,18/12/2021 21:59,18/12/2021 21:59,18/12/2021 22:00,18/12/2021 22:00,18/12/2021 22:04,18/12/2021 22:07,Replaced new bulb,,,,,,,Light fused-mani-low
FID4615,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1009,,18/12/2021 21:19,20/12/2021 10:35,20/12/2021 10:35,20/12/2021 10:35,20/12/2021 10:36,20/12/2021 10:37,Reduce the room vav damper position in bms system to make it warm,,,,,,,Aircon make it warm -aru-low
FID4612,Office and Furniture,Safe Box,Cannot open / close,More than 1 room,RMG > RH > 13 > Ward 1328-1336 Nurse Station,,18/12/2021 20:20,18/12/2021 20:32,18/12/2021 20:32,18/12/2021 20:33,18/12/2021 20:35,18/12/2021 20:36,cabinet number locker cannot open master key use open,,,,,,,Patient locker cannot lock-v.bala-low
FID4611,Plumbing & Sanitary,Basin / sink,Choked,More than 1 room,RMG > RH > 12 > Housekeeping Office,,18/12/2021 20:01,18/12/2021 20:37,18/12/2021 20:37,18/12/2021 20:38,18/12/2021 20:38,18/12/2021 20:39,choke clear,,,,,,,Basin choke-v.bala-low
FID4608,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1328-1336,,18/12/2021 18:24,18/12/2021 18:25,18/12/2021 18:25,18/12/2021 18:26,18/12/2021 18:29,18/12/2021 19:04,adjusted vav control in bms make it warm,,,,,,,"Aircon too cold, make it warm-v.bala-low"
FID4606,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1351-1357,,18/12/2021 17:12,18/12/2021 17:31,18/12/2021 17:32,18/12/2021 17:34,18/12/2021 17:37,18/12/2021 17:38,adjusted vav control in bms make it cool,,,,,,,"Aircon too cold, make it warm-v.bala-low"
FID4603,Office and Furniture,TV,Cannot operate / defective,More than 1 room,RMG > RH > 10 > Ward 1007,,18/12/2021 14:27,18/12/2021 14:48,18/12/2021 14:48,18/12/2021 14:49,18/12/2021 14:49,18/12/2021 14:50,Power failure reset back to normal,,,,,,,TV not working-Senthil-low
FID4601,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1337-1343,,18/12/2021 13:59,18/12/2021 14:00,18/12/2021 14:00,18/12/2021 14:00,18/12/2021 14:02,18/12/2021 14:03,adjusted the temprature aircon make it warm,,,,,,,Aircon make it warm-a.bala-low
FID4600,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Nursing Stn C,,18/12/2021 13:35,18/12/2021 14:45,18/12/2021 14:46,18/12/2021 14:50,18/12/2021 14:51,18/12/2021 14:52,air,,,,,,,Aircon stuffy-nazri-low
FID4598,Mechanical,AHU / FCU / CU,Other: Room pressure low,Localised to room,RMG > RH > 9 > Ward 954 (BMT),,18/12/2021 12:02,20/12/2021 10:31,20/12/2021 10:32,20/12/2021 10:32,20/12/2021 10:33,20/12/2021 10:33,Adjusted the temperature setpoint on the isolation room display panel from 21c to 19c,,,,,,,Room pressure low-nazri-low
FID4597,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Nursing Stn B,,18/12/2021 12:00,18/12/2021 12:33,18/12/2021 12:34,18/12/2021 12:34,18/12/2021 12:34,18/12/2021 12:38,Adjusted the aircon temperature make it warm,,,,,,,Aircon make it cool-satha-low
FID4595,Mechanical,AHU / FCU / CU,Unserviceable,Localised to room,RMG > RH > 7 > Angio Suite,,18/12/2021 11:51,20/12/2021 10:28,20/12/2021 10:28,20/12/2021 10:29,20/12/2021 10:29,20/12/2021 10:30,Replaced new AAA battery for hygrometer,,,,,,,Hygrometer no battery-Allan-low
FID4594,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 10 > Ward 1011,,18/12/2021 11:49,18/12/2021 12:41,18/12/2021 12:42,18/12/2021 12:45,18/12/2021 12:56,18/12/2021 12:57,Adjusted the room vav temperature setpoint and damper position in bms system,,,,,,,Aircon make it warm-ilayaraja-low
FID4593,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1345-1350,,18/12/2021 11:48,18/12/2021 15:16,18/12/2021 15:17,18/12/2021 15:17,18/12/2021 15:18,18/12/2021 15:18,Change Battery,,,,,,,Wall clock not working-Allan-low
FID4592,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 13 > Ward 1351-1357,,18/12/2021 11:47,18/12/2021 12:23,18/12/2021 12:30,18/12/2021 12:31,18/12/2021 12:31,18/12/2021 12:32,Adjusted the room vav temperature setpoint in bms system make it warm,,,,,,,Aircon make it warm-satha-low
FID4591,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1345-1350,,18/12/2021 11:45,18/12/2021 12:07,18/12/2021 12:13,18/12/2021 12:19,18/12/2021 12:21,18/12/2021 12:22,Adjusted the aircon temperature for the room vav in bms system make it warm,,,,,,,Aircon make it warm-satha-low
FID4590,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 8 > Ward 851,,18/12/2021 11:27,18/12/2021 11:38,18/12/2021 11:39,18/12/2021 11:41,18/12/2021 11:42,18/12/2021 11:44,replaced new light bulb,,,,,,,Mirror light fused-nazri-low
FID4589,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > RM@RH Counter,,18/12/2021 11:23,18/12/2021 11:36,18/12/2021 11:37,18/12/2021 11:49,18/12/2021 11:50,18/12/2021 11:51,replaced new light bulb,,,,,,,Light bulb fused -a.bala-low
FID4587,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 852,,18/12/2021 10:30,18/12/2021 10:38,18/12/2021 11:07,18/12/2021 11:08,18/12/2021 11:08,18/12/2021 11:09,adjusted the cool8ng valve,,,,,,,Aircon too warm-nazri-low
