Fault 2021-12-22 19:37:09,,,,,,,,,,,,,,,,,,,,,
,Fault Number,Building Trade,Trade Category,Type of Fault,Impact,Location,Cancel Status,Reported Date,Fault Acknowledged Date,Responded on Site Date,RA Conducted Date,Work Started Date,Work Completed Date,Action(s) Taken,Other Trades Required Date,Cost Cap Exceed Date,Assistance Requested Date,Fault Reference,End User Priority,Incident Report,Remarks
,FID4637,Plumbing & Sanitary,Basin / sink,Choked,More than 1 room,RMG > RH > 10 > Ward 1061,,2021-12-19 18:13:36,2021-12-19 18:20:59,2021-12-19 18:22:49,2021-12-19 18:23:18,2021-12-19 18:24:29,2021-12-19 18:25:49,basin choke cleared,,,,,,,Basin choke-v.bala-low
,FID4635,Mechanical,Pneumatic Tube,System Shows fault / Error code,More than 1 room,RMG > RH > 2 > RM@RH Counter,,2021-12-19 17:03:06,2021-12-19 17:04:11,2021-12-19 17:04:38,2021-12-19 17:05:02,2021-12-19 17:05:26,2021-12-19 17:07:52,working normal test to send tube and recived back,,,,,,,Pneumatic tube system not working-satha-low
,FID4633,Office and Furniture,Chair,Cannot operate / defective,More than 1 room,RMG > RH > 10 > Nursing Stn D,,2021-12-19 16:38:37,2021-12-19 17:33:31,2021-12-19 17:34:00,2021-12-19 17:34:42,2021-12-19 17:35:52,2021-12-19 17:38:32,screw missing replaced new screw,,,,,,,Need to tighten screw-v.bala-low
,FID4632,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Nursing Stn C,,2021-12-19 16:15:01,2021-12-19 16:42:13,2021-12-19 16:42:39,2021-12-19 16:43:21,2021-12-19 17:39:37,2021-12-19 17:43:34,adjusted vav control in bms aircon make it cool,,,,,,,Aircon make it cool-v.bala-low
,FID4631,Building,Door Frame,Noisy,More than 1 room,RMG > RH > 8 > Ward 850,,2021-12-19 14:30:40,2021-12-19 16:05:17,2021-12-19 16:05:45,2021-12-19 16:06:10,2021-12-19 16:08:26,2021-12-19 16:10:00,door closer screw loose tighten back normal,,,,,,,Door very noisy-v.bala-low
,FID4627,Office and Furniture,Safe Box,Cannot open / close,More than 1 room,RMG > RH > 13 > Ward 1328-1336,,2021-12-19 11:57:43,2021-12-19 13:41:53,2021-12-19 13:42:44,2021-12-19 13:43:10,2021-12-19 13:43:42,2021-12-19 13:44:37,number locker cannot open master key use,,,,,,,Patient locker need to open-v.bala-low
,FID4625,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 13,,2021-12-19 09:41:36,2021-12-20 10:50:43,2021-12-20 10:51:06,2021-12-20 10:51:32,2021-12-20 10:51:55,2021-12-20 10:52:39,Manually adjust the cooling valve onsite to make the aircon warm,,,,,,,"Aircon too cold, make it warm-isyamudin-low"
,FID4620,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 13,,2021-12-19 03:41:44,2021-12-19 04:01:14,2021-12-19 04:01:43,2021-12-19 04:03:29,2021-12-19 04:05:06,2021-12-19 04:06:33,setpoint adjust 24to 26 aircon make it warm,,,,,,,Aircon make it warm-aru-low
,FID4619,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1328-1336,,2021-12-19 03:29:28,2021-12-19 03:30:06,2021-12-19 03:30:34,2021-12-19 03:31:31,2021-12-19 03:31:57,2021-12-19 03:37:29,adjusted the aircon temperature from 20c to 25c and damber from auto to 20% manual in bms system make it warm,,,,,,,Aircon make it warm-mani-low
,FID4617,Mechanical,AHU / FCU / CU,Airflow too strong / weak,Localised to room,"RMG > RH > 13 > Ward 1310-1318, RMG",,2021-12-18 22:37:52,2021-12-18 22:39:49,2021-12-18 22:40:16,2021-12-18 22:42:20,2021-12-18 22:44:01,2021-12-18 22:45:37,room setpoint adjust 24 to 26 aircon make it warm,,,,,,,Aircon make it warm -aru-low
,FID4616,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > A&E,,2021-12-18 21:59:05,2021-12-18 21:59:31,2021-12-18 22:00:04,2021-12-18 22:00:35,2021-12-18 22:04:55,2021-12-18 22:07:18,Replaced new bulb,,,,,,,Light fused-mani-low
,FID4615,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1009,,2021-12-18 21:19:28,2021-12-20 10:35:05,2021-12-20 10:35:29,2021-12-20 10:35:54,2021-12-20 10:36:19,2021-12-20 10:37:30,Reduce the room vav damper position in bms system to make it warm,,,,,,,Aircon make it warm -aru-low
,FID4612,Office and Furniture,Safe Box,Cannot open / close,More than 1 room,RMG > RH > 13 > Ward 1328-1336 Nurse Station,,2021-12-18 20:20:30,2021-12-18 20:32:21,2021-12-18 20:32:49,2021-12-18 20:33:16,2021-12-18 20:35:17,2021-12-18 20:36:40,cabinet number locker cannot open master key use open,,,,,,,Patient locker cannot lock-v.bala-low
,FID4611,Plumbing & Sanitary,Basin / sink,Choked,More than 1 room,RMG > RH > 12 > Housekeeping Office,,2021-12-18 20:01:11,2021-12-18 20:37:23,2021-12-18 20:37:48,2021-12-18 20:38:11,2021-12-18 20:38:49,2021-12-18 20:39:26,choke clear,,,,,,,Basin choke-v.bala-low
,FID4608,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1328-1336,,2021-12-18 18:24:19,2021-12-18 18:25:01,2021-12-18 18:25:33,2021-12-18 18:26:03,2021-12-18 18:29:38,2021-12-18 19:04:29,adjusted vav control in bms make it warm,,,,,,,"Aircon too cold, make it warm-v.bala-low"
,FID4606,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1351-1357,,2021-12-18 17:12:16,2021-12-18 17:31:45,2021-12-18 17:32:12,2021-12-18 17:34:52,2021-12-18 17:37:06,2021-12-18 17:38:09,adjusted vav control in bms make it cool,,,,,,,"Aircon too cold, make it warm-v.bala-low"
,FID4603,Office and Furniture,TV,Cannot operate / defective,More than 1 room,RMG > RH > 10 > Ward 1007,,2021-12-18 14:27:49,2021-12-18 14:48:17,2021-12-18 14:48:41,2021-12-18 14:49:11,2021-12-18 14:49:33,2021-12-18 14:50:27,Power failure reset back to normal,,,,,,,TV not working-Senthil-low
,FID4601,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1337-1343,,2021-12-18 13:59:45,2021-12-18 14:00:15,2021-12-18 14:00:40,2021-12-18 14:00:51,2021-12-18 14:02:24,2021-12-18 14:03:37,adjusted the temprature aircon make it warm,,,,,,,Aircon make it warm-a.bala-low
,FID4600,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 10 > Nursing Stn C,,2021-12-18 13:35:55,2021-12-18 14:45:49,2021-12-18 14:46:29,2021-12-18 14:50:26,2021-12-18 14:51:25,2021-12-18 14:52:15,air,,,,,,,Aircon stuffy-nazri-low
,FID4598,Mechanical,AHU / FCU / CU,Other: Room pressure low,Localised to room,RMG > RH > 9 > Ward 954 (BMT),,2021-12-18 12:02:12,2021-12-20 10:31:49,2021-12-20 10:32:14,2021-12-20 10:32:38,2021-12-20 10:33:02,2021-12-20 10:33:47,Adjusted the temperature setpoint on the isolation room display panel from 21c to 19c,,,,,,,Room pressure low-nazri-low
,FID4597,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Nursing Stn B,,2021-12-18 12:00:42,2021-12-18 12:33:40,2021-12-18 12:34:01,2021-12-18 12:34:29,2021-12-18 12:34:50,2021-12-18 12:38:31,Adjusted the aircon temperature make it warm,,,,,,,Aircon make it cool-satha-low
,FID4595,Mechanical,AHU / FCU / CU,Unserviceable,Localised to room,RMG > RH > 7 > Angio Suite,,2021-12-18 11:51:03,2021-12-20 10:28:08,2021-12-20 10:28:48,2021-12-20 10:29:16,2021-12-20 10:29:40,2021-12-20 10:30:18,Replaced new AAA battery for hygrometer,,,,,,,Hygrometer no battery-Allan-low
,FID4594,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 10 > Ward 1011,,2021-12-18 11:49:11,2021-12-18 12:41:12,2021-12-18 12:42:52,2021-12-18 12:45:44,2021-12-18 12:56:57,2021-12-18 12:57:34,Adjusted the room vav temperature setpoint and damper position in bms system,,,,,,,Aircon make it warm-ilayaraja-low
,FID4593,Office and Furniture,Wall Clock,Cannot operate / defective,Localised to room,RMG > RH > 13 > Ward 1345-1350,,2021-12-18 11:48:22,2021-12-18 15:16:41,2021-12-18 15:17:07,2021-12-18 15:17:40,2021-12-18 15:18:06,2021-12-18 15:18:53,Change Battery,,,,,,,Wall clock not working-Allan-low
,FID4592,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RH > 13 > Ward 1351-1357,,2021-12-18 11:47:15,2021-12-18 12:23:05,2021-12-18 12:30:40,2021-12-18 12:31:04,2021-12-18 12:31:38,2021-12-18 12:32:42,Adjusted the room vav temperature setpoint in bms system make it warm,,,,,,,Aircon make it warm-satha-low
,FID4591,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1345-1350,,2021-12-18 11:45:15,2021-12-18 12:07:21,2021-12-18 12:13:42,2021-12-18 12:19:12,2021-12-18 12:21:07,2021-12-18 12:22:16,Adjusted the aircon temperature for the room vav in bms system make it warm,,,,,,,Aircon make it warm-satha-low
,FID4590,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 8 > Ward 851,,2021-12-18 11:27:46,2021-12-18 11:38:46,2021-12-18 11:39:38,2021-12-18 11:41:26,2021-12-18 11:42:43,2021-12-18 11:44:10,replaced new light bulb,,,,,,,Mirror light fused-nazri-low
,FID4589,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > RM@RH Counter,,2021-12-18 11:23:53,2021-12-18 11:36:19,2021-12-18 11:37:22,2021-12-18 11:49:41,2021-12-18 11:50:14,2021-12-18 11:51:39,replaced new light bulb,,,,,,,Light bulb fused -a.bala-low
,FID4587,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 852,,2021-12-18 10:30:14,2021-12-18 10:38:11,2021-12-18 11:07:19,2021-12-18 11:08:08,2021-12-18 11:08:38,2021-12-18 11:09:41,adjusted the cool8ng valve,,,,,,,Aircon too warm-nazri-low
,FID4582,Mechanical,Air Diffuser (supply/return),Airflow too strong / weak,Localised to room,RMG > RH > 7 > Operating Theatre 11,,2021-12-18 07:30:17,2021-12-18 07:31:16,2021-12-18 07:33:16,2021-12-18 07:34:15,2021-12-18 07:42:00,2021-12-18 07:43:29,close the valve to 50 % from 100 %,,,,,,,"satha , low"
,FID4581,Medical Equipment,Autoclave,Leaking,Localised to room,RMG > RH > 7 > CSSD,,2021-12-18 07:17:02,2021-12-18 07:18:56,2021-12-18 07:19:47,2021-12-18 07:38:10,2021-12-18 07:40:53,2021-12-18 07:44:45,cssd Autoclave 3 water  leaking from hose need to arrange the contrectar for replace the hose,,,,,,,"ilayaraja, medium"
,FID4580,Mechanical,AHU / FCU / CU,Airflow too strong / weak,More than 1 room,RMG > RH > 9 > Nursing Stn B,,2021-12-18 03:12:13,2021-12-18 03:14:07,2021-12-18 03:14:34,2021-12-18 03:15:01,2021-12-18 03:19:56,2021-12-18 03:21:41,checked setting on BMS motor running in 45 Hz reduce to 30 Hz and setpoint increased from 16 degree to 19 degree . checked on site back to normal,,,,,,,"satha , low"
,FID4578,Mechanical,Air Diffuser (supply/return),Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1319-1327,,2021-12-17 22:44:10,2021-12-17 22:45:54,2021-12-17 22:46:25,2021-12-17 22:46:51,2021-12-17 22:55:36,2021-12-17 22:57:47,change to manual mode running normally . DDC no signal to run . need to inform Honeywell.,,,,,,,"satha , low"
,FID4572,Office and Furniture,Table,Misaligned / dangling,Localised to room,RMG > RH > 7 > Operating Theatre 10,,2021-12-17 17:52:10,2021-12-18 10:48:14,2021-12-18 10:48:34,2021-12-18 10:48:56,2021-12-18 10:49:58,2021-12-18 10:51:30,Fixed back the wheel,,,,,,,Hand table wheel come out-nazri-low
,FID4570,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 12,,2021-12-17 17:33:08,2021-12-18 09:43:13,2021-12-18 09:43:35,2021-12-18 09:43:58,2021-12-18 09:45:50,2021-12-18 09:46:36,Adjusted the aircon temperature from 23c to 18c and damper from auto to 0% manual in bms system make it cool,,,,,,,Aircon make it cool-Su-low
,FID4569,Plumbing & Sanitary,Basin / sink,No water,Affecting Public,RMG > RH > 7 > OR9&10 Scrub Rm,,2021-12-17 17:31:01,2021-12-18 10:43:55,2021-12-18 10:44:17,2021-12-18 10:44:41,2021-12-18 10:45:03,2021-12-18 10:47:23,"Checked on site, water coming out but, low pressure. Adjusted the valve, basin water back to normal",,,,,,,Scrub sink no water-nazri-low
,FID4568,Plumbing & Sanitary,Bidet spray / Hose,Leaking,Localised to room,RMG > RH > 9 > Ward 917,,2021-12-17 17:29:55,2021-12-18 10:21:47,2021-12-18 10:24:21,2021-12-18 10:24:52,2021-12-18 10:25:18,2021-12-18 10:25:58,replaced new bidet spray,,,,,,,Bidet spray leaking -nazri-low
,FID4566,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 12,,2021-12-17 16:06:04,2021-12-17 16:06:28,2021-12-17 16:06:47,2021-12-17 16:07:07,2021-12-17 16:07:55,2021-12-17 16:09:48,Adjusted the temperature setpoint from 23c to 18c in bms system make it cool. Heater automatically reduced from 65% to 14%.,,,,,,,Aircon make it cool-su-low
,FID4565,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 1 > Concierge,,2021-12-17 15:31:26,2021-12-17 15:42:02,2021-12-17 15:42:32,2021-12-17 15:42:56,2021-12-17 15:44:28,2021-12-17 15:48:24,Replaced new bulb 2 nos,,,,,,,Light fused -mani-low
,FID4564,Electrical,Light Bulb,Misaligned / dangling,Localised to room,RMG > RH > 2 > Raffles Chinese Medicine Clinic,,2021-12-17 14:59:12,2021-12-17 15:00:46,2021-12-17 15:01:13,2021-12-17 15:01:55,2021-12-17 15:02:27,2021-12-17 15:06:56,Replaced new screw,,,,,,,Light fitting screw loose-mani-low
,FID4563,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 13,,2021-12-17 14:24:54,2021-12-17 14:34:26,2021-12-17 14:34:50,2021-12-17 14:35:11,2021-12-17 14:35:31,2021-12-17 14:40:04,"Check on site ,Ahu 13-1 was on manual.,put back to auto mode..actuator upon checking not responding,.highlight to honeywell to follow up",,,,,,,"Aircon too cold whole ward, make it warm-Isyamudin-low"
,FID4562,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 9 > Nursing Stn B,,2021-12-17 14:20:17,2021-12-17 15:28:24,2021-12-17 15:28:45,2021-12-17 15:36:01,2021-12-17 15:37:06,2021-12-17 15:38:08,vav tamber manually open,,,,,,,Aircon make it cool -Aru-low
,FID4561,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1048,,2021-12-17 14:18:52,2021-12-17 14:20:55,2021-12-17 14:21:23,2021-12-17 14:21:43,2021-12-17 14:22:00,2021-12-17 14:23:07,Adjusted the vav 1-1-28 temperature setpoint from 24c to 22c and damper position from 5% manual to auto (56.3%) in bms system make it cool.,,,,,,,Aircon make it cool -Su-low
,FID4559,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 2 > Skin & Aesthetics Consult Rm 6,,2021-12-17 14:04:30,2021-12-17 14:05:10,2021-12-17 14:05:28,2021-12-17 14:06:43,2021-12-17 14:07:01,2021-12-17 14:09:07,Adjusted vav 5-1-7 temperature setpoint from 22c to 24c and damper position from 50% manual to 30% in bms system make it warm.,,,,,,,"Aircon too cold, make it warm-Su-low"
,FID4558,Plumbing & Sanitary,Urinal,Choked,Localised to room,RMG > RSC > 2 > Male Toilet,,2021-12-17 14:03:12,2021-12-18 11:07:19,2021-12-18 11:07:39,2021-12-18 11:07:59,2021-12-18 11:08:30,2021-12-18 11:08:59,Cleared the urinal choke,,,,,,,Urinal bowl choke-v.bala-low
,FID4557,Building,Window,Unable to open or close properly,Localised to room,RMG > RH > 12 > RHS Female Toilet,,2021-12-17 14:01:21,2021-12-17 14:58:58,2021-12-17 15:41:09,2021-12-17 17:22:47,2021-12-17 17:23:10,2021-12-17 17:24:56,Put down the curtains,,,,,,,Window blind faulty - ming cai-low
,FID4553,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > ICU Rm 708,,2021-12-17 12:39:20,2021-12-17 13:07:09,2021-12-17 13:07:35,2021-12-17 13:08:44,2021-12-17 13:58:05,2021-12-17 13:58:43,Manually close the room vav damper,,,,,,,"aircon to cold ,make it warm -aru-low"
,FID4552,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RSC > 8 > ENT,,2021-12-17 11:40:01,2021-12-18 11:14:39,2021-12-18 11:15:01,2021-12-18 11:15:23,2021-12-18 11:16:13,2021-12-18 11:17:30,Need to purchase bulb. Will follow-up,,,,,,,Light fused-mani-low
,FID4551,Mechanical,Auto Sliding Glass Door,Cannot Open or Close,Localised to room,RMG > RSC > 13 > Link Bridge,,2021-12-17 11:05:06,2021-12-18 11:18:48,2021-12-18 11:19:10,2021-12-18 11:19:32,2021-12-18 11:19:54,2021-12-18 11:21:28,Unable to rectify the door issue. Engaged entre contractor to check. Work done,,,,,,,Door slam very loud and EM lock not touching-a.bala-low
,FID4550,Mechanical,Auto Sliding Glass Door,Other: EM lock not touching,Localised to room,RMG > RSC > 19 > Level 19,,2021-12-17 11:03:39,2021-12-18 10:57:56,2021-12-18 10:58:17,2021-12-18 10:58:37,2021-12-18 10:59:02,2021-12-18 11:03:38,"Adjusted the EM door alignment, EM lock working back to normal.",,,,,,,"Need to check alignment of the EM door, EM lock not touching-v.bala-low"
,FID4549,Office and Furniture,Cabinet,Cannot open / close,Localised to room,RMG > RH > 11 > Room 1107 (QM),,2021-12-17 11:00:31,2021-12-17 11:02:04,2021-12-17 11:38:49,2021-12-17 11:39:20,2021-12-17 11:40:02,2021-12-17 13:08:25,Change a new cabinet,,,,,,,Top-hanging cabinet cannot lock-ming cai-low
,FID4546,Medical Equipment,Medical Gas,Change Cylinders,Localised to room,RMG > RH > 7 > OT,,2021-12-17 10:34:26,2021-12-18 09:49:33,2021-12-18 09:49:54,2021-12-18 09:50:16,2021-12-18 09:50:41,2021-12-18 10:09:10,Replaced new cylinders,,,,,,,Need to replace 2 big CO2 cylinder-nazri-medium
,FID4545,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 8,,2021-12-17 10:32:28,2021-12-17 10:44:13,2021-12-17 10:44:33,2021-12-17 10:44:59,2021-12-17 10:45:23,2021-12-17 10:48:48,Adjusted the temperature setpoint from 25c to 18c and heater from 100% manual to auto (0%) in bms system make it cool.,,,,,,,Aircon make it cool -Su-low
,FID4544,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 13 > Ward 1358-1363,,2021-12-17 10:30:46,2021-12-17 10:35:54,2021-12-17 10:38:17,2021-12-17 10:38:37,2021-12-17 10:38:55,2021-12-17 10:43:44,Adjusted the vav number 1-2-15 damper position from 20% to 5% and vav 1-2-16 temperature setpoint from 24c to 26c and damper from 20% to 5% in bms system make it warm,,,,,,,Aircon make it warm -su-low
,FID4543,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 12 > REMC Counter,,2021-12-17 10:29:09,2021-12-17 11:05:17,2021-12-17 11:09:48,2021-12-17 11:10:32,2021-12-17 11:10:58,2021-12-17 11:12:57,aircon make it cool  colling valve adjust 40 to 60,,,,,,,Aircon make it cool -Aru-low
,FID4542,Building,Door Lock,Unable to open or close properly,Localised to room,RMG > RSC > 11 > Radiology,,2021-12-17 10:23:48,2021-12-17 12:49:36,2021-12-17 12:49:53,2021-12-17 13:02:55,2021-12-17 13:03:15,2021-12-17 15:05:49,open the lock,,,,,,,Door lock faulty -ming cai-low
,FID4539,Electrical,Call System,Unserviceable,Localised to room,RMG > RH > 7 > ICU Rm 705,,2021-12-17 10:17:24,2021-12-17 10:37:38,2021-12-17 10:39:37,2021-12-17 10:40:35,2021-12-17 10:41:32,2021-12-17 10:44:26,call bell rreset back to normal,,,,,,,Call bell not ringing-a.bala-low
,FID4537,Mechanical,AHU / FCU / CU,Too hot / Too cold,Affecting Public,RMG > RSC > 16 > Eye Centre Consult Rm 1,,2021-12-17 10:15:50,2021-12-17 11:06:59,2021-12-17 11:07:25,2021-12-17 11:08:43,2021-12-17 11:09:06,2021-12-17 11:12:29,Adjusted VAV 16-2-4 temperature setpoint to 24c and damper position to 20% manual in bms system,,,,,,,Aircon make it warm-ilayaraja-low
,FID4536,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 12 > RHS Male Toilet,,2021-12-17 10:09:51,2021-12-17 10:49:39,2021-12-17 10:51:35,2021-12-17 10:52:47,2021-12-17 10:53:39,2021-12-17 10:54:31,replaced new light bulb,,,,,,,Ceiling light fused-a.bala-low
,FID4535,Office and Furniture,Safe Box,Cannot open / close,Localised to room,RMG > RH > 9 > Ward 980 - 986,,2021-12-17 10:06:57,2021-12-17 10:12:23,2021-12-17 11:52:21,2021-12-17 11:53:18,2021-12-17 11:56:28,2021-12-17 14:12:39,Cabinet drawer number lock cannot open. Used master key to open the cabinet drawer,,,,,,,Need to open patient safe drawer-v.bala-low
,FID4533,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 2 > Skin & Aesthetics Treatment Rm 7,,2021-12-17 09:47:03,2021-12-17 10:12:04,2021-12-17 10:12:33,2021-12-17 10:13:01,2021-12-17 10:13:28,2021-12-17 10:24:13,"then just put 'Suspect dimmer switch problem. When dim light, light flickering.",,,,,,,Light flickering -mani-low
,FID4529,Mechanical,BMS / BAS,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 8,,2021-12-17 07:22:13,2021-12-17 07:26:17,2021-12-17 07:26:47,2021-12-17 07:39:55,2021-12-17 07:40:23,2021-12-17 07:42:04,adjusted setpoint fot OT 8 from 18 to 25 degree and active heater,,,,,,,Aircon make it warm to 24c for paeds case-ilayaraja-low
,FID4528,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 9 > Nursing Stn B,,2021-12-17 07:18:42,2021-12-17 07:19:32,2021-12-17 07:22:51,2021-12-17 07:23:26,2021-12-17 07:25:19,2021-12-17 07:27:40,checked on BMS setpoint on 15 degree so increase setpoint to 16 degree,,,,,,,"Aircon make warm, very cool in all place -satha-low"
,FID4527,Mechanical,AHU / FCU / CU,Too hot / Too cold,More than 1 room,RMG > RH > 13 > Ward 1319-1327 Nurse Station,,2021-12-17 01:35:07,2021-12-17 01:36:41,2021-12-17 01:37:28,2021-12-17 01:38:08,2021-12-17 01:39:18,2021-12-17 01:41:27,setpoint temperature is in auto 24 degrees and vav opening position only 20 % . but still patient need to warm so adjusted VAV position to 10 %.,,,,,,,Aircon make it warm -satha-low
,FID4523,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 10 > Ward 1011,,2021-12-16 18:47:27,2021-12-16 18:48:01,2021-12-16 18:48:42,2021-12-16 18:49:11,2021-12-16 18:49:37,2021-12-16 18:55:19,adjusted the temperature setpoint form 24c to 30c and heater form auto to 100% manual in bms system,,,,,,,Aircon make it warm -mani-low
,FID4518,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 8 > Ward 852,,2021-12-16 16:09:08,2021-12-16 16:28:39,2021-12-16 17:08:02,2021-12-16 17:08:23,2021-12-16 17:08:44,2021-12-16 17:10:50,Check on-site ahu 8-1 actuator jam..highlighted honeywell to follow up.,,,,,,,Aircon make it cool-isyamudin-low
,FID4513,Plumbing & Sanitary,Soap Dispenser,Other: FIx new,Localised to room,RMG > RH > 8 > Labour Ward Counter,,2021-12-16 14:58:35,2021-12-16 15:05:24,2021-12-16 15:06:24,2021-12-16 15:07:48,2021-12-16 15:09:06,2021-12-16 15:10:03,work completed,,,,,,,Need to remove old hand rub dispenser and install new one -v.bala-low
,FID4512,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RSC > 10 > Heart Ctr Con Rm 5,,2021-12-16 14:57:11,2021-12-16 15:02:03,2021-12-16 15:02:23,2021-12-16 15:02:43,2021-12-16 15:03:07,2021-12-16 15:03:54,Adjusted VAV 10-1-17 temperature setpoint at 18c and damper from 85% manual to 95% manual in bms system make it cool slightly.,,,,,,,Aircon make it slightly cool-su-low
,FID4511,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 7 > Operating Theatre 10,,2021-12-16 14:56:18,2021-12-16 14:59:16,2021-12-16 14:59:53,2021-12-16 15:00:27,2021-12-16 15:00:51,2021-12-16 15:01:31,Adjusted the temperature setpoint from 23c to 26c and heater from auto to 100% manual in bms system,,,,,,,Aircon make it warm-su-low
,FID4506,Plumbing & Sanitary,Tap,Leaking,Localised to room,RMG > RH > 7 > Clinical Lab,,2021-12-16 13:36:31,2021-12-16 13:47:26,2021-12-16 13:47:50,2021-12-16 13:48:14,2021-12-16 14:38:29,2021-12-16 17:45:29,Need to purchase new tap. Awaiting for parts.,,,,,,,Basin tap leaking-v.bala-low
,FID4505,Electrical,Call System,Other: Keep ringing,Affecting Public,RMG > RH > 7 > OT,,2021-12-16 13:35:17,2021-12-16 13:36:00,2021-12-16 13:48:23,2021-12-16 13:48:44,2021-12-16 13:49:08,2021-12-16 15:11:42,replaced spare faceplate,,,,,,,Call bell keep ringing non-stop-mani-low
,FID4504,Plumbing & Sanitary,Basin / sink,Leaking,Affecting Public,RMG > RH > 9 > Nursing Stn D,,2021-12-16 13:33:40,2021-12-16 13:35:18,2021-12-16 13:38:05,2021-12-16 14:40:41,2021-12-16 14:41:46,2021-12-16 15:14:01,onside checked no leaking,,,,,,,Water leaking from basin-v.bala-low
,FID4503,Electrical,Call System,Other: Keep ringing,Localised to room,RMG > RH > 7 > Day Surgery,,2021-12-16 13:31:33,2021-12-16 13:36:05,2021-12-16 13:50:12,2021-12-16 13:51:10,2021-12-16 13:51:59,2021-12-16 14:02:18,reset back to normal,,,,,,,Call bell keep ringing non stop-a.bala-low
,FID4502,Mechanical,AHU / FCU / CU,Too hot / Too cold,Localised to room,RMG > RH > 11 > Admin Office Corridor,,2021-12-16 13:16:01,2021-12-16 16:06:21,2021-12-16 16:06:43,2021-12-16 16:07:05,2021-12-16 16:07:46,2021-12-16 16:08:22,checked on site after adjust bms. ok,,,,,,,Aircon too cold-aru-low
,FID4500,Electrical,Light Bulb,Flickering / Blown,Localised to room,RMG > RH > 7 > Molecular Lab PCR Rm,,2021-12-16 12:07:48,2021-12-16 12:10:42,2021-12-16 12:11:13,2021-12-16 12:11:38,2021-12-16 12:12:14,2021-12-16 12:17:02,Replaced new bulb 5 nos,,,,,,,Need to replace fused bulb-mani-low
,FID4499,Building,Wall,Other: Photo frame,Localised to room,RMG > RH > 8 > Labour Ward Nursery,,2021-12-16 11:03:38,2021-12-16 15:18:08,2021-12-16 15:19:50,2021-12-16 15:23:47,2021-12-16 16:22:02,2021-12-16 16:22:26,,,,,,,,Photo frame dropped-isyamudin-low
